year|rank|song_title|artist|spotify_track_id|spotify_song_name|spotify_url|artist_name|artist_image|artist_genres|release_date|popularity|duration_ms|explicit|danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|mapped_genres|norm_genres|duration_s|loudness_scaled
2019|47|Thotiana|Blueface|1rBjexQsgqXpsS2BrCxaDX|Thotiana|https://open.spotify.com/track/1rBjexQsgqXpsS2BrCxaDX|Blueface|https://i.scdn.co/image/ab6761610000e5eb9ee6c8739ef1f20553231132|Hip Hop/Rap|2018-12-18|61|129264|1|0.906|0.382|10|-12.89|0|0.269|0.18|0.0|0.113|0.391|104.025|['Hip Hop/Rap']|Hip Hop/Rap|129|0.7851666666666667
2019|48|Lucid Dreams|Juice WRLD|285pBltuF7vW8TeWk8hdRR|Lucid Dreams|https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR|Juice WRLD|https://i.scdn.co/image/ab6761610000e5eb1908e1a8b79abf71d5598944|Hip Hop/Rap|2018-12-10|82|239835|1|0.511|0.566|6|-7.23|0|0.2|0.349|0.0|0.34|0.218|83.903|['Hip Hop/Rap']|Hip Hop/Rap|240|0.8795
2019|49|Mo Bamba|Sheck Wes|1xzBco0xcoJEDXktl7Jxrr|Mo Bamba|https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr|Sheck Wes|https://i.scdn.co/image/ab6761610000e5eb1709525276c11ad492f56354|Hip Hop/Rap|2018-10-05|75|183906|1|0.729|0.625|4|-5.266|1|0.0315|0.194|0.00986|0.248|0.261|146.034|['Hip Hop/Rap']|Hip Hop/Rap|184|0.9122333333333333
2019|50|Beautiful People|Ed Sheeran Featuring Khalid|70eFcWOvlMObDhURTqT4Fv|Beautiful People (feat. Khalid)|https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv|Ed Sheeran|https://i.scdn.co/image/ab6761610000e5eb3bcef85e105dfc42399ef0ba|Pop, Other|2019-07-12|71|197866|0|0.64|0.647|5|-8.114|0|0.186|0.124|0.0|0.0801|0.546|92.979|['Pop', 'Other']|Pop|198|0.8647666666666666
2019|51|Wake Up In The Sky|Gucci Mane X Bruno Mars X Kodak Black|2G1tXoGBaEMJ7FKGnkf6ud|Wake Up in the Sky|https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud|Gucci Mane|https://i.scdn.co/image/ab6761610000e5ebb9b77f64bd278ffde2c94428|Hip Hop/Rap|2018-12-07|77|203161|1|0.8|0.578|4|-5.144|0|0.0485|0.00381|0.0|0.367|0.367|143.01|['Hip Hop/Rap']|Hip Hop/Rap|203|0.9142666666666667
2019|52|Whiskey Glasses|Morgan Wallen|57TEkZN3f84tFJFHFrD4pO|Whiskey Glasses|https://open.spotify.com/track/57TEkZN3f84tFJFHFrD4pO|Morgan Wallen|https://i.scdn.co/image/ab6761610000e5ebcdb9694bfa4a026ee19426ae|Country/Folk|2018-04-27|80|234346|0|0.616|0.68|6|-4.581|1|0.0288|0.361|1.18e-06|0.116|0.687|149.951|['Country/Folk']|Country/Folk|234|0.92365
2019|53|God's Country|Blake Shelton|1dyxS3YzBbL0t8rEVwVQ1K|God's Country|https://open.spotify.com/track/1dyxS3YzBbL0t8rEVwVQ1K|Blake Shelton|https://i.scdn.co/image/ab6761610000e5ebe2cff2190102be30cfb8bfe5|Country/Folk, Other|2019-03-29|66|205106|0|0.538|0.752|10|-5.106|1|0.0396|0.0608|5.39e-06|0.118|0.217|139.984|['Country/Folk', 'Other']|Country/Folk|205|0.9148999999999999
2019|54|Be Alright|Dean Lewis|5qrSlOut2rNAWv3ubArkNy|Be Alright|https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy|Dean Lewis|https://i.scdn.co/image/ab6761610000e5eb0f1e2654ed4fa751799b4140|Pop|2019-03-22|76|196493|1|0.551|0.537|11|-7.595|1|0.034|0.705|0.0|0.0802|0.493|126.421|['Pop']|Pop|196|0.8734166666666667
2019|55|Pure Water|Mustard & Migos|3j84U36KvLeXNDPv4t5pI8|Pure Water (with Migos)|https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8|Mustard|https://i.scdn.co/image/ab6761610000e5eb54406b7007a449aeaac06c44|Hip Hop/Rap|2019-06-28|72|192470|1|0.68|0.559|0|-5.545|1|0.127|0.177|0.0|0.344|0.135|202.018|['Hip Hop/Rap']|Hip Hop/Rap|192|0.9075833333333333
2019|56|The Git Up|Blanco Brown|01tA4XmJ4fGQNwti6b2hPm|The Git Up|https://open.spotify.com/track/01tA4XmJ4fGQNwti6b2hPm|Blanco Brown|https://i.scdn.co/image/ab6761610000e5ebc2fcb4a7b2db8828c242ff41|Other|2019-10-10|66|200593|0|0.847|0.678|9|-8.635|1|0.109|0.0669|0.0|0.274|0.811|97.984|['Other']|Other|201|0.8560833333333334
2019|57|Taki Taki|DJ Snake Featuring Selena Gomez, Ozuna & Cardi B|4w8niZpiMy6qz1mntFA5uM|Taki Taki (with Selena Gomez, Ozuna & Cardi B)|https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM|DJ Snake|https://i.scdn.co/image/ab6761610000e5ebca97cf089968b569e29d795c|Other, Pop, Electronic/Dance|2018-09-28|72|212500|1|0.842|0.801|8|-4.167|0|0.228|0.157|4.82e-06|0.0642|0.617|95.881|['Other', 'Pop', 'Electronic/Dance']|Other|212|0.93055
2019|58|Close To Me|Ellie Goulding X Diplo Featuring Swae Lee|2GjMaJ7DacMIkgoe8oMXGg|Close To Me|https://open.spotify.com/track/2GjMaJ7DacMIkgoe8oMXGg?si=174d6419dd0946dc|Ellie Goulding|https://i.scdn.co/image/ab6761610000e5ebc3cd7dc428871e8985d62b9a|Other, Pop, Electronic/Dance|2020-07-17|61|182626|1|0.572|0.75|1|-5.042|0|0.0604|0.0946|0.0|0.378|0.475|144.081|['Other', 'Pop', 'Electronic/Dance']|Other|183|0.9159666666666666
2019|59|Envy Me|Calboy|7rvyVWja33WG9R97oeJAjx|Envy Me|https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx|Calboy|https://i.scdn.co/image/ab6761610000e5eb399e66766e938b7bed3a9793|Hip Hop/Rap|2019-05-31|62|120133|1|0.74|0.488|1|-7.664|0|0.27|0.234|0.0|0.241|0.584|149.042|['Hip Hop/Rap']|Hip Hop/Rap|120|0.8722666666666666
2019|60|You Say|Lauren Daigle|6Up545NUflOiXo8cEraH49|You Say|https://open.spotify.com/track/6Up545NUflOiXo8cEraH49|Lauren Daigle|https://i.scdn.co/image/ab6761610000e5ebda1f3f893988db4455af8c1c|Other|2018-09-07|73|274693|0|0.494|0.632|5|-6.89|1|0.0342|0.682|0.0|0.0869|0.0797|147.873|['Other']|Other|275|0.8851666666666667
2019|61|Hey Look Ma, I Made It|Panic! At The Disco|22oEJW6r2rMb9z4IntfyEa|Hey Look Ma, I Made It|https://open.spotify.com/track/22oEJW6r2rMb9z4IntfyEa|Panic! At The Disco|https://i.scdn.co/image/ab6761610000e5ebb256ae9a4b82bfff97776ae2|Pop|2018-06-22|65|169666|0|0.577|0.833|5|-3.337|1|0.0695|0.0137|0.0|0.121|0.58|107.936|['Pop']|Pop|170|0.9443833333333332
2019|62|Circles|Post Malone|21jGcNKet2qwijlDFuPiPb|Circles|https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb|Post Malone|https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0|Pop, Hip Hop/Rap, Other|2019-09-06|85|215280|0|0.695|0.763|0|-3.497|1|0.0396|0.189|0.00242|0.0863|0.551|120.042|['Pop', 'Hip Hop/Rap', 'Other']|Pop|215|0.9417166666666666
2019|63|Beer Never Broke My Heart|Luke Combs|7aEtlGHoiPAfRB084NiDmx|Beer Never Broke My Heart|https://open.spotify.com/track/7aEtlGHoiPAfRB084NiDmx|Luke Combs|https://i.scdn.co/image/ab6761610000e5ebbd634295d99c61823c517c3f|Country/Folk|2019-11-08|81|186733|0|0.538|0.863|1|-4.483|1|0.0481|0.0139|0.0|0.0874|0.637|77.001|['Country/Folk']|Country/Folk|187|0.9252833333333333
2019|64|The London|Young Thug, J. Cole & Travis Scott|3s4mrPrEFFPF0LmAfutW0n|The London (feat. J. Cole & Travis Scott)|https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n|Young Thug|https://i.scdn.co/image/ab6761610000e5eb547d2b41c9f2c97318aad0ed|Hip Hop/Rap, Other|2019-08-16|66|200186|1|0.784|0.517|4|-8.981|0|0.209|0.0249|1.44e-06|0.155|0.206|97.991|['Hip Hop/Rap', 'Other']|Hip Hop/Rap|200|0.8503166666666666
