Year|Rank|Song Title|Artist|Spotify Track ID|Spotify_song_name|Spotify URL|Artist Name|Artist Image|Artist Genres|Release Date|Popularity|Duration (ms)|Explicit|Danceability|Energy|Key|Loudness|Mode|Speechiness|Acousticness|Instrumentalness|Liveness|Valence|Tempo
2022|13|Bad Habits|Ed Sheeran|3rmo8F54jFF8OgYsqTxm5d|Bad Habits|https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d|Ed Sheeran|https://i.scdn.co/image/ab6761610000e5eb3bcef85e105dfc42399ef0ba|pop, singer-songwriter pop, uk pop|2021-10-25|80.0|230746.0|False|0.807|0.893|11.0|-3.745|0.0|0.0347|0.0451|2.79e-05|0.366|0.537|126.011
2022|14|Thats What I Want|Lil Nas X|0e8nrvls4Qqv5Rfa2UhqmO|THATS WHAT I WANT|https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO|Lil Nas X|https://i.scdn.co/image/ab6761610000e5eb0eefd7d68573ea8f0f4db84a|lgbtq+ hip hop|2021-09-17|76.0|143901.0|True|0.737|0.846|1.0|-4.51|0.0|0.22|0.00614|0.0|0.0486|0.546|87.981
2022|15|Enemy|Imagine Dragons X JID|||||||||||||||||||||
2022|16|Industry Baby|Lil Nas X & Jack Harlow|27NovPIUIRrOZoCHxABJwK|INDUSTRY BABY (feat. Jack Harlow)|https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK|Lil Nas X|https://i.scdn.co/image/ab6761610000e5eb0eefd7d68573ea8f0f4db84a|lgbtq+ hip hop|2021-07-23|75.0|212000.0|True|0.736|0.704|3.0|-7.409|0.0|0.0615|0.0203|0.0|0.0501|0.894|149.995
2022|17|abcdefu|GAYLE|4fouWK6XVHhzl78KzQ1UjL|abcdefu|https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL|GAYLE|https://i.scdn.co/image/ab6761610000e5eb3f9b6ba687bc60385c7c34b5|alt z, modern alternative pop|2021-08-13|74.0|168601.0|True|0.695|0.54|4.0|-5.692|1.0|0.0493|0.299|0.0|0.367|0.415|121.932
2022|18|Need To Know|Doja Cat|3Vi5XqYrmQgOYBajMWSvCi|Need to Know|https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi|Doja Cat|https://i.scdn.co/image/ab6761610000e5ebe94f88ff74ae4ddcab961f97|dance pop, pop|2021-06-25|76.0|210560.0|True|0.664|0.609|1.0|-6.509|1.0|0.0707|0.304|0.0|0.0926|0.194|130.041
2022|19|Wasted On You|Morgan Wallen|3cBsEDNhFI9E82vPj3kvi3|Wasted On You|https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3|Morgan Wallen|https://i.scdn.co/image/ab6761610000e5ebcdb9694bfa4a026ee19426ae|contemporary country|2021-01-08|82.0|178520.0|False|0.505|0.657|11.0|-5.24|0.0|0.0318|0.373|0.00107|0.126|0.252|196.0
2022|20|Me Porto Bonito|Bad Bunny & Chencho Corleone|6Sq7ltF9Qa7SNFBsV5Cogx|Me Porto Bonito|https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx|Bad Bunny|https://i.scdn.co/image/ab6761610000e5eb9ad50e478a469448c6f369df|reggaeton, trap latino, urbano latino|2022-05-06|84.0|178567.0|True|0.911|0.712|1.0|-5.105|0.0|0.0817|0.0901|2.68e-05|0.0933|0.425|92.005
2022|21|Woman|Doja Cat|6Uj1ctrBOjOas8xZXGqKk4|Woman|https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4|Doja Cat|https://i.scdn.co/image/ab6761610000e5ebe94f88ff74ae4ddcab961f97|dance pop, pop|2021-06-25|82.0|172626.0|True|0.824|0.764|5.0|-4.175|0.0|0.0854|0.0888|0.00294|0.117|0.881|107.998
2022|22|Titi Me Pregunto|Bad Bunny|1IHWl5LamUGEuP4ozKQSXZ|Tití Me Preguntó|https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ|Bad Bunny|https://i.scdn.co/image/ab6761610000e5eb9ad50e478a469448c6f369df|reggaeton, trap latino, urbano latino|2022-05-06|82.0|243716.0|True|0.65|0.715|5.0|-5.198|0.0|0.253|0.0993|0.000291|0.126|0.187|106.672
2022|23|Running Up That Hill (A Deal With God)|Kate Bush|1PtQJZVZIdWIYdARpZRDFO|Running Up That Hill (A Deal With God)|https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO|Kate Bush|https://i.scdn.co/image/ab6761610000e5eb187017724e58e78ee1f5a8e4|art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter|1985-09-16|80.0|298933.0|False|0.629|0.545|10.0|-13.123|0.0|0.0546|0.719|0.00308|0.0604|0.194|108.376
2022|24|We Don't Talk About Bruno|Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast|||||||||||||||||||||
2022|25|Late Night Talking|Harry Styles|1qEmFfgcLObUfQm0j1W2CK|Late Night Talking|https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK|Harry Styles|https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb|pop|2022-05-20|79.0|177954.0|False|0.714|0.728|10.0|-4.595|1.0|0.0468|0.298|0.0|0.106|0.901|114.996
2022|26|I Like You (A Happier Song)|Post Malone Featuring Doja Cat|0O6u0VJ46W86TxN9wgyqDj|I Like You (A Happier Song) (with Doja Cat)|https://open.spotify.com/track/0O6u0VJ46W86TxN9wgyqDj|Post Malone|https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0|dfw rap, melodic rap, pop, rap|2022-06-03|78.0|192840.0|True|0.733|0.67|5.0|-6.009|1.0|0.0751|0.121|0.0|0.121|0.472|100.964
2022|27|You Proof|Morgan Wallen|5W4kiM2cUYBJXKRudNyxjW|You Proof|https://open.spotify.com/track/5W4kiM2cUYBJXKRudNyxjW|Morgan Wallen|https://i.scdn.co/image/ab6761610000e5ebcdb9694bfa4a026ee19426ae|contemporary country|2023-03-03|83.0|157477.0|False|0.728|0.818|9.0|-5.068|1.0|0.0329|0.323|0.0|0.582|0.681|119.706
2022|28|Bad Habit|Steve Lacy|4k6Uh1HXdhtusDW5y8Gbvy|Bad Habit|https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy|Steve Lacy|https://i.scdn.co/image/ab6761610000e5eb09ac9d040c168d4e4f58eb42|afrofuturism|2022-07-15|82.0|232066.0|True|0.686|0.494|1.0|-7.093|1.0|0.0355|0.613|5.8e-05|0.402|0.7|168.946
2022|29|Sunroof|Nicky Youre & dazy|5YqEzk3C5c3UZ1D5fJUlXA|Sunroof|https://open.spotify.com/track/5YqEzk3C5c3UZ1D5fJUlXA|Nicky Youre|https://i.scdn.co/image/ab6761610000e5ebc5d211cb18a841fdc031ac0a|singer-songwriter pop|2023-06-09|84.0|163025.0|False|0.768|0.714|10.0|-5.11|1.0|0.0401|0.352|0.0|0.15|0.842|131.443
2022|30|One Right Now|Post Malone & The Weeknd|00Blm7zeNqgYLPtW6zg8cj|One Right Now (with The Weeknd)|https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj|Post Malone|https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0|dfw rap, melodic rap, pop, rap|2021-11-05|70.0|193506.0|True|0.687|0.781|1.0|-4.806|1.0|0.053|0.0361|0.0|0.0755|0.688|97.014
2022|31|Good 4 U|Olivia Rodrigo|4ZtFanR9U6ndgddUvNcjcG|good 4 u|https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG|Olivia Rodrigo|https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4|pop|2021-05-21|83.0|178146.0|True|0.563|0.664|9.0|-5.044|1.0|0.154|0.335|0.0|0.0849|0.688|166.928
2022|32|Numb Little Bug|Em Beihold|1KQc37jezhunxnOPhvdwSG|Numb Little Bug|https://open.spotify.com/track/1KQc37jezhunxnOPhvdwSG|Em Beihold|https://i.scdn.co/image/ab6761610000e5eb23c885de4c81852c917608ac|alt z, gen z singer-songwriter|2022-07-22|69.0|169237.0|False|0.742|0.527|8.0|-6.892|0.0|0.0769|0.327|0.0|0.25|0.638|84.974
2022|33|Jimmy Cooks|Drake Featuring 21 Savage|3F5CgOj3wFlRv51JsHbxhe|Jimmy Cooks (feat. 21 Savage)|https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe|Drake|https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9|canadian hip hop, canadian pop, hip hop, pop rap, rap|2022-06-17|82.0|218364.0|True|0.529|0.673|0.0|-4.711|1.0|0.175|0.000307|2.41e-06|0.093|0.366|165.921
2022|34|'Til You Can't|Cody Johnson|4k3lPl8YTKuY8c1HelVnm3|'Til You Can't|https://open.spotify.com/track/4k3lPl8YTKuY8c1HelVnm3|Cody Johnson|https://i.scdn.co/image/ab6761610000e5eb37fd77080cfc361e8f61337c|classic texas country, contemporary country, modern country pop|2021-10-08|73.0|224213.0|False|0.501|0.815|1.0|-4.865|1.0|0.0436|0.0513|0.0|0.106|0.46|160.087
2022|35|Fancy Like|Walker Hayes|58UKC45GPNTflCN6nwCUeF|Fancy Like|https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF|Walker Hayes|https://i.scdn.co/image/ab6761610000e5eb3d34bdf036ba9ae35890e978|contemporary country, country, country road, modern country rock|2022-01-21|72.0|161853.0|False|0.647|0.765|1.0|-6.459|1.0|0.06|0.111|0.0|0.315|0.855|79.994
2022|36|The Kind Of Love We Make|Luke Combs|48UKTR66uUOT9LaUvooTNx|The Kind of Love We Make|https://open.spotify.com/track/48UKTR66uUOT9LaUvooTNx|Luke Combs|https://i.scdn.co/image/ab6761610000e5ebbd634295d99c61823c517c3f|contemporary country, country|2022-06-24|80.0|224426.0|False|0.608|0.745|1.0|-4.13|1.0|0.0277|0.0226|6.47e-06|0.0942|0.464|102.025
2022|37|I Ain't Worried|OneRepublic|4h9wh7iOZ0GGn8QVp4RAOB|I Ain't Worried|https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB|OneRepublic|https://i.scdn.co/image/ab6761610000e5eb57138b98e7ddd5a86ee97a9b|piano rock, pop|2022-05-13|83.0|148485.0|False|0.704|0.797|0.0|-5.927|1.0|0.0475|0.0826|0.000745|0.0546|0.825|139.994
2022|38|Break My Soul|Beyonce|||||||||||||||||||||
2022|39|Something In The Orange|Zach Bryan|3WMj8moIAXJhHsyLaqIIHI|Something in the Orange|https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI|Zach Bryan|https://i.scdn.co/image/ab6761610000e5eb4fd54df35bfcfa0fc9fc2da7|classic oklahoma country|2022-04-22|87.0|228013.0|False|0.369|0.192|4.0|-12.151|0.0|0.04|0.555|8.35e-06|0.0954|0.148|175.212
2022|40|Save Your Tears|The Weeknd & Ariana Grande|5QO79kh1waicV47BqGRL3g|Save Your Tears|https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g|The Weeknd|https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb|canadian contemporary r&b, canadian pop, pop|2020-03-20|85.0|215626.0|True|0.679|0.825|0.0|-5.487|1.0|0.0309|0.0212|1.21e-05|0.543|0.644|118.049
2022|41|Smokin Out The Window|Silk Sonic (Bruno Mars & Anderson .Paak)|||||||||||||||||||||
2022|42|Levitating|Dua Lipa|5nujrmhLynf4yMoMtj8AQF|Levitating (feat. DaBaby)|https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF|Dua Lipa|https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d|dance pop, pop, uk pop|2020-03-27|80.0|203064.0|False|0.702|0.825|6.0|-3.787|0.0|0.0601|0.00883|0.0|0.0674|0.915|102.977
2022|43|In A Minute|Lil Baby|31lopd32BkJBTSgYE16c5e|In A Minute|https://open.spotify.com/track/31lopd32BkJBTSgYE16c5e|Lil Baby|https://i.scdn.co/image/ab6761610000e5eb6cad3eff5adc29e20f189a6c|atl hip hop, atl trap, rap, trap|2022-10-14|62.0|200470.0|True|0.547|0.604|2.0|-5.99|1.0|0.319|0.0334|0.0|0.112|0.149|78.502
2022|44|Moscow Mule|Bad Bunny|6Xom58OOXk2SoU711L2IXO|Moscow Mule|https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO|Bad Bunny|https://i.scdn.co/image/ab6761610000e5eb9ad50e478a469448c6f369df|reggaeton, trap latino, urbano latino|2022-05-06|81.0|245939.0|True|0.804|0.674|5.0|-5.453|0.0|0.0333|0.294|1.18e-06|0.115|0.292|99.968
2022|45|You Right|Doja Cat & The Weeknd|0k4d5YPDr1r7FX77VdqWez|You Right|https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez|Doja Cat|https://i.scdn.co/image/ab6761610000e5ebe94f88ff74ae4ddcab961f97|dance pop, pop|2021-06-25|76.0|186173.0|True|0.828|0.621|8.0|-6.414|1.0|0.0565|0.0164|0.00233|0.0845|0.436|128.986
2022|46|She Had Me At Heads Carolina|Cole Swindell|200x8ONbPfFzByUr3fVz46|She Had Me At Heads Carolina|https://open.spotify.com/track/200x8ONbPfFzByUr3fVz46|Cole Swindell|https://i.scdn.co/image/ab6761610000e5eb5647293b127a07a7a80e4e8f|contemporary country, country, country road, modern country rock|2022-04-08|73.0|206106.0|False|0.607|0.912|8.0|-3.449|1.0|0.0611|0.124|0.0|0.332|0.722|134.944
2022|47|Vegas|Doja Cat|0hquQWY3xvYqN4qtiquniF|Vegas (From the Original Motion Picture Soundtrack ELVIS)|https://open.spotify.com/track/0hquQWY3xvYqN4qtiquniF|Doja Cat|https://i.scdn.co/image/ab6761610000e5ebe94f88ff74ae4ddcab961f97|dance pop, pop|2022-05-06|73.0|182906.0|True|0.801|0.601|8.0|-7.574|0.0|0.255|0.0777|3.23e-05|0.145|0.74|159.969
2022|48|Pushin P|Gunna & Future Featuring Young Thug|3XOalgusokruzA5ZBA2Qcb|pushin P (feat. Young Thug)|https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb|Gunna|https://i.scdn.co/image/ab6761610000e5ebb978b95b8e03351df8e103af|atl hip hop, melodic rap, rap, trap|2022-01-13|69.0|136266.0|True|0.773|0.422|1.0|-4.572|0.0|0.187|0.00783|0.00693|0.129|0.488|77.502
2022|49|Buy Dirt|Jordan Davis Featuring Luke Bryan|69AIpwGNLxr4qS1X5ynx60|Buy Dirt|https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60|Jordan Davis|https://i.scdn.co/image/ab6761610000e5eb2ed3943e39c47fa8bb10fb53|contemporary country|2021-05-21|80.0|167480.0|False|0.586|0.559|4.0|-6.725|1.0|0.05|0.639|0.0|0.0872|0.437|177.945
2022|50|I Hate U|SZA|2aJnyNu4PQxQ2lyj5boiMG|I Hate U|https://open.spotify.com/track/2aJnyNu4PQxQ2lyj5boiMG|SZA|https://i.scdn.co/image/ab6761610000e5eb0895066d172e1f51f520bc65|pop, r&b, rap|2022-12-09|69.0|173906.0|True|0.533|0.417|7.0|-8.665|0.0|0.148|0.514|0.0|0.114|0.376|106.534
2022|51|Boyfriend|Dove Cameron|59CfNbkERJ3NoTXDvoURjj|Boyfriend|https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj|Dove Cameron|https://i.scdn.co/image/ab6761610000e5eb00123a25f73d91bdead7b1c0|pop|2022-02-11|73.0|153000.0|True|0.345|0.612|7.0|-6.543|0.0|0.0608|0.232|0.0|0.194|0.232|179.773
2022|52|Glimpse Of Us|Joji|6xGruZOHLs39ZbVccQTuPZ|Glimpse of Us|https://open.spotify.com/track/6xGruZOHLs39ZbVccQTuPZ|Joji|https://i.scdn.co/image/ab6761610000e5eb4111c95b5f430c3265c7304b|viral pop|2022-06-10|78.0|233456.0|False|0.44|0.317|8.0|-9.258|1.0|0.0531|0.891|4.78e-06|0.141|0.268|169.914
2022|53|Surface Pressure|Jessica Darrow|760jhRscwGbIIe1m1IIQpU|Surface Pressure|https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU|Jessica Darrow|https://i.scdn.co/image/ab6761610000e5eb3201a8cc9d24a2eb9de2f4df|movie tunes|2021-11-19|70.0|202226.0|False|0.65|0.584|2.0|-8.286|1.0|0.307|0.0174|1.54e-06|0.042|0.37|180.088
